,scaled_input_default,scaled_input_account_check_status,scaled_input_duration_in_month,scaled_input_credit_history,scaled_input_purpose,scaled_input_credit_amount,scaled_input_savings,scaled_input_present_emp_since,scaled_input_installment_as_income_perc,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_present_res_since,scaled_input_property,scaled_input_age,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,origin_input_default,origin_input_account_check_status,origin_input_duration_in_month,origin_input_credit_history,origin_input_purpose,origin_input_credit_amount,origin_input_savings,origin_input_present_emp_since,origin_input_installment_as_income_perc,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_present_res_since,origin_input_property,origin_input_age,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,scaled_cf_account_check_status,scaled_cf_duration_in_month,scaled_cf_credit_history,scaled_cf_purpose,scaled_cf_credit_amount,scaled_cf_savings,scaled_cf_present_emp_since,scaled_cf_installment_as_income_perc,scaled_cf_personal_status_sex,scaled_cf_other_debtors,scaled_cf_present_res_since,scaled_cf_property,scaled_cf_age,scaled_cf_other_installment_plans,scaled_cf_housing,scaled_cf_credits_this_bank,scaled_cf_job,scaled_cf_people_under_maintenance,scaled_cf_telephone,scaled_cf_foreign_worker,scaled_cf_default,origin_cf_account_check_status,origin_cf_duration_in_month,origin_cf_credit_history,origin_cf_purpose,origin_cf_credit_amount,origin_cf_savings,origin_cf_present_emp_since,origin_cf_installment_as_income_perc,origin_cf_personal_status_sex,origin_cf_other_debtors,origin_cf_present_res_since,origin_cf_property,origin_cf_age,origin_cf_other_installment_plans,origin_cf_housing,origin_cf_credits_this_bank,origin_cf_job,origin_cf_people_under_maintenance,origin_cf_telephone,origin_cf_foreign_worker,origin_cf_default,running_time,Found,ground_truth,prediction
0,Y,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.47058823529411764,delay in paying off in the past,car (used),0.36519203257400684,... < 100 DM,1 <= ... < 4 years,1.0,male : single,guarantor,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,car (used),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.0802910327911377,Y,Y,Y
0,Y,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,... < 100 DM,1 <= ... < 4 years,1.0,male : single,guarantor,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,none,yes,N,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,guarantor,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,none,yes,N,0.0788421630859375,Y,Y,Y
0,Y,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,.. >= 1000 DM ,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",no,N,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,.. >= 1000 DM ,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",no,N,0.0784449577331543,Y,Y,Y
0,Y,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,100 <= ... < 500 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,100 <= ... < 500 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.07802915573120117,Y,Y,Y
0,Y,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,... < 100 DM,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,Y,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,< 0 DM,0.47058823529411764,delay in paying off in the past,(vacation - does not exist?),0.36519203257400684,unknown/ no savings account,1 <= ... < 4 years,1.0,male : single,none,0.6666666666666667,if not A121 : building society savings agreement/ life insurance,0.17857142857142855,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,< 0 DM,36.0,delay in paying off in the past,(vacation - does not exist?),6887.0,unknown/ no savings account,1 <= ... < 4 years,4.0,male : single,none,3.0,if not A121 : building society savings agreement/ life insurance,28.999999999999996,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.07846808433532715,Y,Y,Y
0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,female : divorced/separated/married,none,1.0,unknown / no property,0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,4.0,unknown / no property,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.07840490341186523,Y,Y,N
0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.31878644,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.035714285714285754,none,rent,2,skilled employee / official,1,none,yes,Y,< 0 DM,25.67747792,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,2,skilled employee / official,1,none,yes,Y,0.0779569149017334,Y,Y,N
0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,.. >= 7 years,1.0,male : married/widowed,none,1.0,"if not A121/A122 : car or other, not in attribute 6",0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,.. >= 7 years,4.0,male : married/widowed,none,4.0,"if not A121/A122 : car or other, not in attribute 6",21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.07924199104309082,Y,Y,N
0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.47542543,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,36.328929239999994,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.07923293113708496,Y,Y,N
0,Y,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,if not A121 : building society savings agreement/ life insurance,0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,if not A121 : building society savings agreement/ life insurance,21.0,none,rent,1,skilled employee / official,1,none,yes,< 0 DM,0.1176470588235294,existing credits paid back duly till now,retraining,0.035875426433366345,... < 100 DM,4 <= ... < 7 years,1.0,male : married/widowed,none,1.0,"if not A121/A122 : car or other, not in attribute 6",0.035714285714285754,none,rent,1,skilled employee / official,1,none,yes,Y,< 0 DM,11.999999999999998,existing credits paid back duly till now,retraining,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,"if not A121/A122 : car or other, not in attribute 6",21.0,none,rent,1,skilled employee / official,1,none,yes,Y,0.0786128044128418,Y,Y,N
